filename,subject,trial,step,pass,reasons
S025_Trial03_Step02.csv,S025,3,2,True,PASS
S025_Trial04_Step01.csv,S025,4,1,True,PASS
S025_Trial04_Step02.csv,S025,4,2,True,PASS
S025_Trial05_Step01.csv,S025,5,1,True,PASS
S025_Trial05_Step02.csv,S025,5,2,True,PASS
S026_Trial01_Step01.csv,S026,1,1,True,PASS
S026_Trial01_Step02.csv,S026,1,2,True,PASS
S026_Trial02_Step01.csv,S026,2,1,True,PASS
S026_Trial02_Step02.csv,S026,2,2,True,PASS
S026_Trial03_Step01.csv,S026,3,1,True,PASS
S026_Trial03_Step02.csv,S026,3,2,True,PASS
S026_Trial04_Step01.csv,S026,4,1,True,PASS
S026_Trial04_Step02.csv,S026,4,2,True,PASS
S026_Trial05_Step01.csv,S026,5,1,True,PASS
S026_Trial05_Step02.csv,S026,5,2,True,PASS
S027_Trial01_Step01.csv,S027,1,1,True,PASS
S027_Trial01_Step02.csv,S027,1,2,True,PASS
S027_Trial02_Step01.csv,S027,2,1,True,PASS
S027_Trial02_Step02.csv,S027,2,2,True,PASS
S027_Trial03_Step01.csv,S027,3,1,True,PASS
S027_Trial03_Step02.csv,S027,3,2,True,PASS
S027_Trial04_Step01.csv,S027,4,1,True,PASS
S027_Trial04_Step02.csv,S027,4,2,True,PASS
S027_Trial05_Step01.csv,S027,5,1,True,PASS
S027_Trial05_Step02.csv,S027,5,2,True,PASS
S028_Trial01_Step01.csv,S028,1,1,True,PASS
S028_Trial02_Step01.csv,S028,2,1,True,PASS
S028_Trial03_Step01.csv,S028,3,1,True,PASS
S028_Trial04_Step01.csv,S028,4,1,True,PASS
S028_Trial04_Step02.csv,S028,4,2,True,PASS
S028_Trial05_Step01.csv,S028,5,1,True,PASS
S028_Trial05_Step02.csv,S028,5,2,True,PASS
S029_Trial01_Step01.csv,S029,1,1,True,PASS
S029_Trial01_Step02.csv,S029,1,2,True,PASS
S029_Trial02_Step01.csv,S029,2,1,True,PASS
S029_Trial02_Step02.csv,S029,2,2,True,PASS
S029_Trial03_Step01.csv,S029,3,1,True,PASS
S029_Trial03_Step02.csv,S029,3,2,True,PASS
S029_Trial04_Step01.csv,S029,4,1,True,PASS
S029_Trial05_Step01.csv,S029,5,1,True,PASS
S030_Trial01_Step01.csv,S030,1,1,True,PASS
S030_Trial01_Step02.csv,S030,1,2,True,PASS
S030_Trial02_Step01.csv,S030,2,1,True,PASS
S030_Trial02_Step02.csv,S030,2,2,True,PASS
S030_Trial03_Step01.csv,S030,3,1,True,PASS
S030_Trial03_Step02.csv,S030,3,2,True,PASS
S030_Trial04_Step01.csv,S030,4,1,True,PASS
S030_Trial04_Step02.csv,S030,4,2,True,PASS
S030_Trial05_Step01.csv,S030,5,1,True,PASS
S030_Trial05_Step02.csv,S030,5,2,True,PASS
S031_Trial01_Step01.csv,S031,1,1,True,PASS
S031_Trial01_Step02.csv,S031,1,2,True,PASS
S031_Trial02_Step01.csv,S031,2,1,True,PASS
S031_Trial02_Step02.csv,S031,2,2,True,PASS
S031_Trial03_Step01.csv,S031,3,1,True,PASS
S031_Trial03_Step02.csv,S031,3,2,True,PASS
S031_Trial04_Step01.csv,S031,4,1,True,PASS
S031_Trial04_Step02.csv,S031,4,2,True,PASS
S031_Trial05_Step01.csv,S031,5,1,True,PASS
S031_Trial05_Step02.csv,S031,5,2,True,PASS
S032_Trial01_Step01.csv,S032,1,1,True,PASS
S032_Trial01_Step02.csv,S032,1,2,True,PASS
S032_Trial02_Step01.csv,S032,2,1,True,PASS
S032_Trial03_Step01.csv,S032,3,1,True,PASS
S032_Trial03_Step02.csv,S032,3,2,True,PASS
S032_Trial04_Step01.csv,S032,4,1,True,PASS
S032_Trial04_Step02.csv,S032,4,2,True,PASS
S032_Trial05_Step01.csv,S032,5,1,True,PASS
S032_Trial05_Step02.csv,S032,5,2,True,PASS
S033_Trial01_Step01.csv,S033,1,1,True,PASS
S033_Trial01_Step02.csv,S033,1,2,True,PASS
S033_Trial02_Step01.csv,S033,2,1,True,PASS
S033_Trial02_Step02.csv,S033,2,2,True,PASS
S033_Trial03_Step01.csv,S033,3,1,True,PASS
S033_Trial03_Step02.csv,S033,3,2,True,PASS
S033_Trial04_Step01.csv,S033,4,1,True,PASS
S033_Trial04_Step02.csv,S033,4,2,True,PASS
S033_Trial05_Step01.csv,S033,5,1,True,PASS
S033_Trial05_Step02.csv,S033,5,2,True,PASS
S034_Trial01_Step01.csv,S034,1,1,True,PASS
S034_Trial01_Step02.csv,S034,1,2,True,PASS
S034_Trial02_Step01.csv,S034,2,1,True,PASS
S034_Trial02_Step02.csv,S034,2,2,True,PASS
S034_Trial03_Step01.csv,S034,3,1,True,PASS
S034_Trial03_Step02.csv,S034,3,2,True,PASS
