filename,file_path,subject,trial,step,sha256,n_rows,n_cols,nan_count,inf_count,missing_pct,global_min,global_max,VL_mean,VL_std,VL_min,VL_max,TA_mean,TA_std,TA_min,TA_max,ST_mean,ST_std,ST_min,ST_max,GM_mean,GM_std,GM_min,GM_max
S005_Trial02_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S005_Trial02_Step01.csv,S005,2,1,220b759890f3f6dbecb88d8e72f02564972244076753df645b0a2e54bc7c26b6,101,4,0,0,0.0,0.0075012169582659,0.584334623977661,0.1555,0.181826,0.013225,0.584335,0.11582,0.074825,0.022153,0.282506,0.075215,0.050405,0.017078,0.190021,0.073471,0.088647,0.007501,0.277059
S005_Trial02_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S005_Trial02_Step02.csv,S005,2,2,dcd6cd2b79dfcb5d53cb3b9969feeb02e05ed931d395ad56ae50e0f55db435f8,101,4,0,0,0.0,0.0071813267453943,0.44102061764944,0.154222,0.133517,0.013815,0.441021,0.119153,0.070237,0.026735,0.234245,0.064961,0.055506,0.009931,0.194992,0.067141,0.072108,0.007181,0.210195
S005_Trial03_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S005_Trial03_Step01.csv,S005,3,1,890b190fb102a4651db867af41b5c68c8c7479e44b6859d2608ebbd4101208e0,101,4,0,0,0.0,0.0079285379775433,0.948597232010553,0.233059,0.287774,0.014279,0.948597,0.116615,0.06756,0.027096,0.223017,0.06677,0.054372,0.011623,0.199008,0.068422,0.094567,0.007929,0.30173
S005_Trial03_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S005_Trial03_Step02.csv,S005,3,2,5f042d841b84f930d8a0100a90591a94d8d4173d5fb250db3a34f23a6283baa9,101,4,0,0,0.0,0.0072360387672272,0.999692129563645,0.244303,0.281602,0.022068,0.999692,0.134561,0.082398,0.02023,0.277155,0.092842,0.067969,0.01091,0.192135,0.067392,0.074588,0.007236,0.236339
S005_Trial04_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S005_Trial04_Step01.csv,S005,4,1,993d0528723dfe4f7c796b6cc4f8801ed9e986c596f21032a1c80c80860e3aef,101,4,0,0,0.0,0.0073094601428169,0.623326543900642,0.266064,0.192831,0.042172,0.623327,0.114091,0.075226,0.026254,0.2911,0.072809,0.053619,0.015791,0.219731,0.074858,0.095593,0.007309,0.297133
S005_Trial04_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S005_Trial04_Step02.csv,S005,4,2,b1c648480bb1585af023e8d15c9209ad4b42f6eb00a8279a334bf809b418d670,101,4,0,0,0.0,0.0077109171364671,0.363183167290975,0.15979,0.088397,0.049733,0.363183,0.110834,0.063219,0.024503,0.218745,0.077691,0.057188,0.01271,0.225149,0.075781,0.094813,0.007711,0.307783
S005_Trial05_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S005_Trial05_Step01.csv,S005,5,1,de33b6e00b7bfa529bd2aade9e955cc1281792479234296467223dc38b525c03,101,4,0,0,0.0,0.009354899431195,0.374421745794438,0.155804,0.084408,0.069224,0.374422,0.12018,0.076177,0.022151,0.252546,0.073422,0.059258,0.009502,0.18594,0.071876,0.091683,0.009355,0.293154
S005_Trial05_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S005_Trial05_Step02.csv,S005,5,2,3a7a75f9bd247baf236fe209fe28e788c401a1389e11f45ead453ead96ff775a,101,4,0,0,0.0,0.009300457597362,0.347964325486686,0.152308,0.096731,0.032527,0.347964,0.121034,0.059613,0.033877,0.23749,0.078629,0.04855,0.010415,0.167534,0.070281,0.084369,0.0093,0.275056
S006_Trial01_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S006_Trial01_Step01.csv,S006,1,1,b9612ee8b5e568df332d6a520a8569d3caa93ef12e6388065b7e63e361548c8b,101,4,0,0,0.0,0.0060200428328623,0.191858470477189,0.041615,0.0181,0.02417,0.088008,0.035461,0.025559,0.00602,0.084451,0.096675,0.043447,0.042927,0.191683,0.068372,0.05407,0.02201,0.191858
S006_Trial02_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S006_Trial02_Step01.csv,S006,2,1,f0ef1a391b036eddb5d7d28f004cc22e2cb1c75d3f1b7f033878f9eb7cbc367e,101,4,0,0,0.0,0.0059305773444386,0.185272162983253,0.052639,0.028755,0.023497,0.119193,0.041124,0.035288,0.005931,0.127172,0.083605,0.043787,0.032252,0.182811,0.07659,0.052284,0.023449,0.185272
S006_Trial03_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S006_Trial03_Step01.csv,S006,3,1,e493f09c4e0413cc7b3cd24d55346a13a485eca5f6546f9f52a1949d30c1dbcf,101,4,0,0,0.0,0.0075839930903202,0.227794873098662,0.050914,0.02677,0.024068,0.119688,0.046847,0.035608,0.007584,0.127566,0.092004,0.043439,0.040481,0.198264,0.072901,0.065029,0.023087,0.227795
S006_Trial03_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S006_Trial03_Step02.csv,S006,3,2,850bfd688fe18e374c9d5a002c962dc970ac255acdacbb7946e4d4cd2dabb5a1,101,4,0,0,0.0,0.0074539236123956,0.244481872785161,0.048989,0.028641,0.023973,0.121734,0.034257,0.02772,0.007454,0.098707,0.088975,0.057794,0.037184,0.209195,0.078115,0.069367,0.020646,0.244482
S006_Trial04_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S006_Trial04_Step01.csv,S006,4,1,25cb2874472a6dc871d99e283d057b45a6f4bce557737f02bda127f60b468359,101,4,0,0,0.0,0.0066018903753538,0.262360012285409,0.050733,0.027931,0.025505,0.11355,0.031767,0.025844,0.006602,0.096926,0.092306,0.050849,0.035966,0.212261,0.083285,0.075539,0.026869,0.26236
S006_Trial05_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S006_Trial05_Step01.csv,S006,5,1,4207c2324bec27b2bd958a8947f3e53001e59124ea241282f03e1a1c2f856c19,101,4,0,0,0.0,0.0057233315224441,0.242921242080372,0.045748,0.020921,0.026722,0.09733,0.036348,0.026874,0.005723,0.084559,0.08775,0.035134,0.031896,0.159024,0.087515,0.076019,0.02157,0.242921
S007_Trial01_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S007_Trial01_Step01.csv,S007,1,1,e1f44731f42a9be016df6f233cf87cf6703fb0ea61ba787fd5453019de4d38f5,101,4,0,0,0.0,0.0117472364528457,0.338996911559299,0.030663,0.019536,0.012803,0.078945,0.084852,0.056331,0.01224,0.194381,0.030196,0.020648,0.011747,0.087215,0.099711,0.102699,0.019454,0.338997
S007_Trial01_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S007_Trial01_Step02.csv,S007,1,2,4b6ed679b94957b1f046919aec20c29b617e6335e8048317ac3c14fb547ac75c,101,4,0,0,0.0,0.0118589892823403,0.251724279816787,0.030143,0.022448,0.011975,0.084886,0.068773,0.048086,0.013074,0.18089,0.029287,0.01786,0.011859,0.075233,0.080847,0.074331,0.018805,0.251724
S007_Trial02_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S007_Trial02_Step01.csv,S007,2,1,19fccda063de3f3225c15d3f682041419c38bad733a706c71d2b918384219fcc,101,4,0,0,0.0,0.011398392753221,0.40824608740763,0.03397,0.027209,0.012603,0.098348,0.095117,0.055031,0.015087,0.191805,0.026913,0.013982,0.011398,0.062944,0.107942,0.119637,0.022235,0.408246
S007_Trial02_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S007_Trial02_Step02.csv,S007,2,2,b5ed05edef6aaceeb2fc21e2f8c7ae6b9b2faa28540bf6c3c1f75699262c4481,101,4,0,0,0.0,0.0107510673560991,0.30022221695454,0.031995,0.029028,0.012157,0.109674,0.085003,0.064213,0.010751,0.228124,0.031107,0.012492,0.016454,0.060846,0.090817,0.085361,0.021256,0.300222
S007_Trial03_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S007_Trial03_Step01.csv,S007,3,1,c88819f86c9597f4ddd41ef304167412cd25dead8289a06c79e056c742b30831,101,4,0,0,0.0,0.0126635702710461,0.340569295344384,0.03015,0.019614,0.012999,0.089428,0.101306,0.058653,0.012664,0.190433,0.033861,0.014692,0.015478,0.075595,0.10395,0.100173,0.019686,0.340569
S007_Trial03_Step02.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S007_Trial03_Step02.csv,S007,3,2,c267acbf5bb9c448cb905208336c8d9c4b3bbe7cf9d8f3d42f10b01332778671,101,4,0,0,0.0,0.0117887696842434,0.314842078277803,0.035205,0.03182,0.012547,0.113794,0.080604,0.055719,0.014207,0.201079,0.029419,0.014448,0.011789,0.073002,0.093428,0.094982,0.022584,0.314842
S007_Trial04_Step01.csv,C:\Users\Vu Duc Duy\Desktop\Sem 8\CAPSTONE\Gait120\output\S007_Trial04_Step01.csv,S007,4,1,9d62a69c224926f30980b0c34625a0d5244ca95dc4a552ab5d695bad9f1b42bc,101,4,0,0,0.0,0.0115918256825893,0.22594474666639,0.037089,0.033778,0.011592,0.116605,0.090538,0.047788,0.016908,0.172159,0.028212,0.013575,0.011669,0.061095,0.075045,0.061236,0.021987,0.225945
